room_id;room_type;city;borough;neighborhood;reviews;overall_satisfaction;accommodates;bedrooms;price;property_type
18924118;Shared room;Sao Paulo;SAO PAULO;Santo Amaro;0;0.0;2;1.0;25.0;Apartment
19034046;Shared room;Sao Paulo;SAO PAULO;Tucuruvi;0;0.0;1;1.0;14.0;Hostel
3184942;Shared room;Sao Paulo;SAO PAULO;Bela Vista;19;4.5;2;1.0;13.0;Apartment
17716599;Shared room;Sao Paulo;SAO PAULO;Bela Vista;0;0.0;1;1.0;14.0;Apartment
13636951;Shared room;Sao Paulo;SAO PAULO;Santana;3;4.5;4;1.0;19.0;House
13060858;Shared room;Sao Paulo;SAO PAULO;República;0;0.0;2;1.0;13.0;Apartment
2423118;Shared room;Sao Paulo;SAO PAULO;Barra Funda;0;0.0;16;1.0;28.0;House
2554041;Shared room;Sao Paulo;SAO PAULO;Jardim Paulista;9;4.5;8;1.0;15.0;Bed & Breakfast
15494712;Shared room;Sao Paulo;SAO PAULO;República;4;5.0;2;1.0;13.0;Apartment
2942099;Shared room;Sao Paulo;SAO PAULO;Itaim Bibi;10;5.0;4;1.0;22.0;House
8461503;Shared room;Sao Paulo;SAO PAULO;República;1;0.0;2;1.0;28.0;Bed & Breakfast
16811361;Shared room;Sao Paulo;SAO PAULO;Moema;0;0.0;1;1.0;14.0;House
5338581;Shared room;Sao Paulo;SAO PAULO;Pinheiros;2;0.0;2;1.0;25.0;Apartment
14467300;Shared room;Sao Paulo;SAO CAETANO DO SUL;São Caetano do Sul;0;0.0;1;1.0;10.0;Apartment
